timestamp,date,time,temp,device_code,serial_number,mode_code
1739303799,2025-02-11,19:56:39,32.1,RC-5+,EFI241107334,TLC30A08B
1739303809,2025-02-11,19:56:49,32.1,RC-5+,EFI241107334,TLC30A08B
1739303819,2025-02-11,19:56:59,32.1,RC-5+,EFI241107334,TLC30A08B
1739303829,2025-02-11,19:57:09,32.1,RC-5+,EFI241107334,TLC30A08B
1739303839,2025-02-11,19:57:19,32.0,RC-5+,EFI241107334,TLC30A08B
1739303849,2025-02-11,19:57:29,32.0,RC-5+,EFI241107334,TLC30A08B
1739303859,2025-02-11,19:57:39,32.0,RC-5+,EFI241107334,TLC30A08B
1739303869,2025-02-11,19:57:49,32.0,RC-5+,EFI241107334,TLC30A08B
1739303879,2025-02-11,19:57:59,32.0,RC-5+,EFI241107334,TLC30A08B
1739303889,2025-02-11,19:58:09,32.0,RC-5+,EFI241107334,TLC30A08B
1739303899,2025-02-11,19:58:19,32.0,RC-5+,EFI241107334,TLC30A08B
1739303909,2025-02-11,19:58:29,32.0,RC-5+,EFI241107334,TLC30A08B
1739303919,2025-02-11,19:58:39,32.0,RC-5+,EFI241107334,TLC30A08B
1739303929,2025-02-11,19:58:49,32.0,RC-5+,EFI241107334,TLC30A08B
1739303939,2025-02-11,19:58:59,32.0,RC-5+,EFI241107334,TLC30A08B
1739303949,2025-02-11,19:59:09,32.0,RC-5+,EFI241107334,TLC30A08B
1739303959,2025-02-11,19:59:19,32.0,RC-5+,EFI241107334,TLC30A08B
1739303969,2025-02-11,19:59:29,31.9,RC-5+,EFI241107334,TLC30A08B
1739303979,2025-02-11,19:59:39,31.9,RC-5+,EFI241107334,TLC30A08B
1739303989,2025-02-11,19:59:49,31.9,RC-5+,EFI241107334,TLC30A08B
1739303999,2025-02-11,19:59:59,31.9,RC-5+,EFI241107334,TLC30A08B
1739304009,2025-02-11,20:00:09,31.9,RC-5+,EFI241107334,TLC30A08B
1739304019,2025-02-11,20:00:19,31.9,RC-5+,EFI241107334,TLC30A08B
1739304029,2025-02-11,20:00:29,31.9,RC-5+,EFI241107334,TLC30A08B
1739304039,2025-02-11,20:00:39,31.9,RC-5+,EFI241107334,TLC30A08B
1739304049,2025-02-11,20:00:49,31.9,RC-5+,EFI241107334,TLC30A08B
1739304059,2025-02-11,20:00:59,31.9,RC-5+,EFI241107334,TLC30A08B
1739304069,2025-02-11,20:01:09,32.0,RC-5+,EFI241107334,TLC30A08B
1739304079,2025-02-11,20:01:19,32.0,RC-5+,EFI241107334,TLC30A08B
1739304089,2025-02-11,20:01:29,32.0,RC-5+,EFI241107334,TLC30A08B
1739304099,2025-02-11,20:01:39,32.0,RC-5+,EFI241107334,TLC30A08B
1739304109,2025-02-11,20:01:49,32.0,RC-5+,EFI241107334,TLC30A08B
1739304119,2025-02-11,20:01:59,32.0,RC-5+,EFI241107334,TLC30A08B
1739304129,2025-02-11,20:02:09,32.0,RC-5+,EFI241107334,TLC30A08B
1739304139,2025-02-11,20:02:19,32.0,RC-5+,EFI241107334,TLC30A08B
1739304149,2025-02-11,20:02:29,32.0,RC-5+,EFI241107334,TLC30A08B
1739304159,2025-02-11,20:02:39,32.0,RC-5+,EFI241107334,TLC30A08B
1739304169,2025-02-11,20:02:49,32.0,RC-5+,EFI241107334,TLC30A08B
1739304179,2025-02-11,20:02:59,32.0,RC-5+,EFI241107334,TLC30A08B
1739304189,2025-02-11,20:03:09,31.9,RC-5+,EFI241107334,TLC30A08B
1739304199,2025-02-11,20:03:19,31.9,RC-5+,EFI241107334,TLC30A08B
1739304209,2025-02-11,20:03:29,31.9,RC-5+,EFI241107334,TLC30A08B
1739304219,2025-02-11,20:03:39,31.9,RC-5+,EFI241107334,TLC30A08B
1739304229,2025-02-11,20:03:49,31.9,RC-5+,EFI241107334,TLC30A08B
1739304239,2025-02-11,20:03:59,31.9,RC-5+,EFI241107334,TLC30A08B
1739304249,2025-02-11,20:04:09,31.9,RC-5+,EFI241107334,TLC30A08B
1739304259,2025-02-11,20:04:19,31.9,RC-5+,EFI241107334,TLC30A08B
